City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bafq,IR,73.49,overcast clouds,31.6128,55.4107,Alamdar Hotel
2,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
4,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Asmar,AF,74.93,clear sky,35.0333,71.3581,COP Monti
9,Rikitea,PF,77.54,broken clouds,-23.1203,-134.9692,People ThankYou
12,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Lorengau,PG,82.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Cairns,AU,76.95,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
25,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
27,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Muros,ES,72.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
33,Atuona,PF,78.6,scattered clouds,-9.8,-139.0333,Villa Enata
35,Namatanai,PG,79.2,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
36,Samarai,PG,82.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
37,Jaypur,IN,78.46,scattered clouds,18.85,82.5833,Hotel Hello Jeypore
42,Bengkulu,ID,76.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
47,Kavieng,PG,82.85,broken clouds,-2.5744,150.7967,Nusa Island Retreat
49,Hilo,US,87.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Sao Filipe,CV,73.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
58,Eyl,SO,83.5,scattered clouds,7.9803,49.8164,Amiin Hotel
73,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Ocampo,MX,83.71,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
76,Tabou,CI,81.75,overcast clouds,4.423,-7.3528,hotêl doufoulougou
77,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Victoria,HK,77.05,overcast clouds,22.2855,114.1577,Mini Hotel Central
83,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Bontang,ID,78.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
86,Faanui,PF,81.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
87,Inhambane,MZ,71.37,clear sky,-23.865,35.3833,Oceano
90,Saint Anthony,US,74.3,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
91,Labuhan,ID,79.25,broken clouds,-6.8844,112.2051,DoubleFAG
93,Sao Felix Do Xingu,BR,88.12,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
94,Mandan,US,75.36,clear sky,46.8267,-100.8896,Twin City Estates
96,Anloga,GH,82.13,broken clouds,5.7947,0.8973,Pin Drop Hotel
98,Vaitape,PF,81.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
102,Huarmey,PE,71.02,few clouds,-10.0681,-78.1522,Hotel Miramar
