City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Rio Gallegos,AR,-51.6226,-69.2181,59.05,36,0,26.46,clear sky
Bafq,IR,31.6128,55.4107,73.49,41,86,11.14,overcast clouds
Gouyave,GD,12.1646,-61.7296,83.17,74,20,17.27,few clouds
Aksarka,RU,66.5606,67.7975,19.69,95,55,7.56,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,71.19,83,31,11.41,scattered clouds
Vaini,TO,-21.2,-175.2,73.56,88,75,10.36,broken clouds
Peniche,PT,39.3558,-9.3811,62.46,75,98,8.77,overcast clouds
Oranjemund,NA,-28.55,16.4333,56.55,86,0,12.64,clear sky
Asmar,AF,35.0333,71.3581,74.93,27,0,8.7,clear sky
Rikitea,PF,-23.1203,-134.9692,77.54,83,75,12.08,broken clouds
Leh,IN,34.1667,77.5833,48.15,45,95,5.39,overcast clouds
Castro,BR,-24.7911,-50.0119,65.07,52,78,4.43,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,45,10.11,scattered clouds
Lorengau,PG,-2.0226,147.2712,82.18,82,77,12.71,broken clouds
Kangaatsiaq,GL,68.3065,-53.4641,27.52,75,6,7.07,clear sky
Jamestown,US,42.097,-79.2353,63.52,41,0,14.97,clear sky
Hermanus,ZA,-34.4187,19.2345,55.8,79,15,7.31,few clouds
Cairns,AU,-16.9167,145.7667,76.95,90,40,8.05,scattered clouds
Codrington,AU,-38.2667,141.9667,52.21,84,61,7.9,broken clouds
Ushuaia,AR,-54.8,-68.3,53.26,47,20,17.27,few clouds
Qaanaaq,GL,77.484,-69.3632,20.1,74,100,0.85,overcast clouds
Esperance,AU,-33.8667,121.9,57.65,48,100,17.54,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,54.0,92,100,2.84,light rain
Hervey Bay,AU,-25.2986,152.8535,69.49,92,96,13.27,light rain
Port Alfred,ZA,-33.5906,26.891,64.18,82,100,4.0,overcast clouds
Georgetown,MY,5.4112,100.3354,84.13,84,20,2.3,few clouds
New Norfolk,AU,-42.7826,147.0587,53.1,68,100,1.01,overcast clouds
Butaritari,KI,3.0707,172.7902,81.25,80,100,15.26,light rain
Busselton,AU,-33.65,115.3333,59.74,66,91,3.0,overcast clouds
Klaksvik,FO,62.2266,-6.589,47.32,69,100,2.86,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,83,100,20.71,overcast clouds
Muros,ES,42.7762,-9.0603,72.68,69,100,5.26,overcast clouds
Klamath Falls,US,42.2249,-121.7817,48.85,79,75,18.41,broken clouds
Atuona,PF,-9.8,-139.0333,78.6,70,32,16.75,scattered clouds
Bluff,NZ,-46.6,168.3333,57.79,97,100,9.13,moderate rain
Namatanai,PG,-3.6667,152.4333,79.2,84,52,8.01,broken clouds
Samarai,PG,-10.6167,150.6667,82.63,80,47,12.12,scattered clouds
Jaypur,IN,18.85,82.5833,78.46,69,34,5.7,scattered clouds
Kodiak,US,57.79,-152.4072,53.11,43,0,10.36,clear sky
Chokurdakh,RU,70.6333,147.9167,14.11,95,100,10.67,overcast clouds
Broome,US,42.2506,-75.833,57.85,39,0,12.66,clear sky
Carnarvon,AU,-24.8667,113.6333,66.27,77,75,5.75,broken clouds
Bengkulu,ID,-3.8004,102.2655,76.08,88,100,5.46,light rain
Guerrero Negro,MX,27.9769,-114.0611,68.85,59,11,14.12,few clouds
Dikson,RU,73.5069,80.5464,8.08,96,100,8.08,overcast clouds
Bethel,US,41.3712,-73.414,55.02,56,75,14.97,broken clouds
Myaundzha,RU,63.0494,147.1858,17.55,96,100,4.0,overcast clouds
Kavieng,PG,-2.5744,150.7967,82.85,76,62,18.03,broken clouds
Srednekolymsk,RU,67.45,153.6833,21.85,95,99,8.03,light snow
Hilo,US,19.7297,-155.09,87.28,81,20,1.01,few clouds
Sao Filipe,CV,14.8961,-24.4956,73.49,79,75,16.2,broken clouds
Thompson,CA,55.7435,-97.8558,66.36,52,40,9.22,scattered clouds
